GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Type_Occupation,Family_Members,Label,Age,Employment_Status,Employed_years,income_bin
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,54.10958904109589,Y,9.884931506849314,14.4-22.2w
F,Y,Y,2,121500.0,Working,Incomplete higher,Married,House / apartment,Core staff,4,approved,31.03287671232877,Y,0.27671232876712326,10.8-14.4w
F,Y,Y,0,121500.0,State servant,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,54.76164383561644,Y,8.852054794520548,10.8-14.4w
M,Y,N,1,270000.0,Working,Higher education,Married,Rented apartment,Laborers,3,approved,29.635616438356163,Y,0.5561643835616439,22.2-30w
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,64.01369863013699,N,,14.4-22.2w
F,N,N,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,25.997260273972604,Y,4.608219178082192,7.2-10.8w
F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,39.61917808219178,Y,4.353424657534247,10.8-14.4w
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,30.005479452054793,Y,9.8,22.2-30w
F,N,N,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,approved,27.616438356164384,Y,2.0136986301369864,7.2-10.8w
M,N,Y,0,85500.0,State servant,Secondary / secondary special,Separated,Rented apartment,Core staff,1,approved,45.320547945205476,Y,23.936986301369863,7.2-10.8w
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,47.293150684931504,Y,4.4301369863013695,14.4-22.2w
F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,58.895890410958906,N,,14.4-22.2w
F,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,High skill tech staff,3,approved,38.76164383561644,Y,4.358904109589041,22.2-30w
F,Y,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,2,approved,28.649315068493152,Y,2.682191780821918,22.2-30w
F,Y,Y,2,540000.0,Working,Higher education,not married,House / apartment,Unknown,3,approved,38.794520547945204,Y,1.1561643835616437,30-66w
F,N,Y,0,283500.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,49.2,Y,1.7945205479452055,22.2-30w
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,60.2,N,,7.2-10.8w
M,N,Y,0,162000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,approved,51.35616438356164,Y,10.008219178082191,14.4-22.2w
F,Y,Y,0,252000.0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,approved,48.11506849315069,Y,3.4547945205479453,22.2-30w
F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Laborers,2,approved,39.93972602739726,Y,20.126027397260273,10.8-14.4w
F,Y,Y,0,315000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,57.56712328767123,N,,30-66w
M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,Managers,3,approved,53.178082191780824,Y,15.191780821917808,30-66w
F,Y,Y,0,180000.0,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,approved,38.72054794520548,Y,10.438356164383562,14.4-22.2w
F,N,Y,0,270000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,57.443835616438356,N,,22.2-30w
M,Y,Y,1,495000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,approved,42.76986301369863,Y,3.26027397260274,30-66w
M,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,53.602739726027394,Y,8.893150684931507,14.4-22.2w
F,N,Y,0,157500.0,Working,Secondary / secondary special,not married,House / apartment,Private service staff,1,approved,48.04931506849315,Y,21.03013698630137,14.4-22.2w
F,N,N,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,4,approved,37.78356164383562,Y,3.706849315068493,14.4-22.2w
F,N,Y,0,612000.0,State servant,Secondary / secondary special,Married,House / apartment,Accountants,2,approved,34.41917808219178,Y,10.178082191780822,30-66w
F,N,Y,1,36000.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,approved,34.01917808219178,Y,3.0493150684931507,3.6-7.2w
M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,30.9013698630137,Y,1.3917808219178083,10.8-14.4w
F,Y,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,approved,32.18904109589041,Y,2.717808219178082,14.4-22.2w
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,Core staff,4,approved,30.12876712328767,Y,6.271232876712329,14.4-22.2w
F,N,Y,0,292500.0,Working,Higher education,Separated,House / apartment,Core staff,1,approved,54.07123287671233,Y,34.57808219178082,22.2-30w
M,Y,N,1,315000.0,State servant,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,approved,36.24657534246575,Y,9.98082191780822,30-66w
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,With parents,Unknown,2,approved,33.63835616438356,Y,2.3808219178082193,10.8-14.4w
F,N,N,2,337500.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,4,approved,30.10958904109589,Y,5.956164383561644,30-66w
F,N,N,1,157500.0,Working,Secondary / secondary special,not married,Municipal apartment,Core staff,2,approved,34.83835616438356,Y,14.61917808219178,14.4-22.2w
F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,52.14520547945205,Y,9.684931506849315,30-66w
F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,Managers,3,approved,40.72054794520548,Y,12.073972602739726,10.8-14.4w
M,N,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,Unknown,2,approved,37.484931506849314,Y,1.2410958904109588,14.4-22.2w
M,Y,N,0,157500.0,Working,Incomplete higher,Married,With parents,Drivers,2,approved,24.997260273972604,Y,2.6301369863013697,14.4-22.2w
F,Y,Y,0,139500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,57.558904109589044,N,,10.8-14.4w
F,N,N,0,135000.0,Working,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,31.53972602739726,Y,12.906849315068493,10.8-14.4w
F,Y,Y,1,133650.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Unknown,3,approved,39.989041095890414,Y,5.383561643835616,10.8-14.4w
M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,3,approved,32.58082191780822,Y,6.967123287671233,30-66w
F,Y,Y,1,81000.0,Working,Higher education,Married,House / apartment,Core staff,3,approved,29.172602739726027,Y,3.8164383561643835,7.2-10.8w
F,Y,Y,1,225000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,3,approved,30.791780821917808,Y,1.2602739726027397,22.2-30w
F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,approved,62.49589041095891,Y,6.120547945205479,10.8-14.4w
M,Y,N,2,135000.0,Working,Higher education,Married,House / apartment,Core staff,4,approved,34.863013698630134,Y,4.468493150684932,10.8-14.4w
F,N,N,0,94500.0,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,2,approved,45.912328767123284,Y,4.435616438356164,7.2-10.8w
F,Y,Y,1,180000.0,Working,Higher education,Separated,House / apartment,Managers,2,approved,51.61095890410959,Y,16.386301369863013,14.4-22.2w
F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,2,approved,51.728767123287675,Y,8.638356164383561,14.4-22.2w
M,Y,Y,0,252000.0,Commercial associate,Higher education,Married,House / apartment,Drivers,2,approved,37.797260273972604,Y,7.347945205479452,22.2-30w
F,N,N,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,Managers,3,approved,33.00547945205479,Y,9.432876712328767,14.4-22.2w
F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,56.86027397260274,Y,6.383561643835616,10.8-14.4w
M,N,Y,0,247500.0,Working,Incomplete higher,Married,House / apartment,Core staff,2,approved,25.09315068493151,Y,1.1315068493150684,22.2-30w
F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,64.1945205479452,N,,14.4-22.2w
M,Y,Y,1,180000.0,Commercial associate,Incomplete higher,Married,House / apartment,Unknown,3,approved,42.59452054794521,Y,18.205479452054796,14.4-22.2w
F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,approved,28.64109589041096,Y,1.3835616438356164,14.4-22.2w
F,N,N,0,157500.0,Working,Higher education,Married,With parents,Accountants,2,approved,36.24931506849315,Y,0.5506849315068493,14.4-22.2w
F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,54.83013698630137,N,,10.8-14.4w
M,Y,Y,0,162000.0,Commercial associate,Higher education,Married,House / apartment,Accountants,2,approved,33.446575342465756,Y,8.967123287671233,14.4-22.2w
M,Y,Y,0,202500.0,Pensioner,Higher education,Married,House / apartment,Unknown,2,approved,59.50958904109589,N,,14.4-22.2w
F,N,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,Laborers,3,approved,28.09041095890411,Y,4.005479452054795,7.2-10.8w
M,Y,Y,0,247500.0,Working,Higher education,Married,House / apartment,Managers,2,approved,35.18630136986302,Y,7.147945205479452,22.2-30w
M,Y,N,0,99000.0,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,53.24109589041096,Y,1.4273972602739726,7.2-10.8w
M,Y,N,0,247500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,2,approved,47.821917808219176,Y,3.6191780821917807,22.2-30w
M,Y,N,1,202500.0,State servant,Higher education,Married,House / apartment,Unknown,3,approved,36.676712328767124,Y,6.758904109589041,14.4-22.2w
F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,4,approved,32.224657534246575,Y,1.9616438356164383,7.2-10.8w
F,Y,Y,0,157500.0,Working,Incomplete higher,Married,House / apartment,Unknown,2,approved,25.723287671232878,Y,4.471232876712329,14.4-22.2w
F,N,N,2,121500.0,Working,Higher education,Married,House / apartment,HR staff,4,approved,32.04657534246575,Y,1.6821917808219178,10.8-14.4w
F,N,Y,0,135000.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,1,approved,48.16164383561644,Y,5.2164383561643834,10.8-14.4w
F,N,N,0,180000.0,State servant,Secondary / secondary special,not married,House / apartment,Laborers,1,approved,49.81095890410959,Y,0.9616438356164384,14.4-22.2w
F,N,N,0,144000.0,Working,Secondary / secondary special,not married,House / apartment,Core staff,1,approved,46.295890410958904,Y,20.027397260273972,14.4-22.2w
M,Y,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,53.35342465753425,N,,10.8-14.4w
M,Y,N,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,approved,41.76164383561644,Y,19.89041095890411,22.2-30w
M,Y,Y,2,157500.0,Commercial associate,Higher education,Married,With parents,Drivers,4,approved,38.88219178082192,Y,1.715068493150685,14.4-22.2w
M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,55.728767123287675,Y,18.775342465753425,14.4-22.2w
M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,5,approved,36.78630136986301,Y,1.2547945205479452,22.2-30w
F,Y,Y,1,261000.0,State servant,Higher education,Married,House / apartment,Managers,3,approved,41.23287671232877,Y,4.46027397260274,22.2-30w
F,Y,Y,2,135000.0,State servant,Secondary / secondary special,Married,House / apartment,Core staff,4,approved,39.558904109589044,Y,16.695890410958903,10.8-14.4w
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,approved,35.59452054794521,Y,2.010958904109589,14.4-22.2w
M,N,Y,1,103500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,32.38904109589041,Y,1.8,7.2-10.8w
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,47.21917808219178,Y,7.397260273972603,10.8-14.4w
M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,27.715068493150685,Y,2.410958904109589,10.8-14.4w
F,N,N,0,112500.0,Working,Higher education,not married,With parents,High skill tech staff,1,approved,30.304109589041097,Y,0.4301369863013699,10.8-14.4w
M,N,Y,1,231750.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,3,approved,39.032876712328765,Y,0.3698630136986301,22.2-30w
F,Y,Y,0,202500.0,Working,Higher education,not married,House / apartment,Managers,1,approved,32.87123287671233,Y,4.101369863013699,14.4-22.2w
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,approved,42.0986301369863,Y,3.4684931506849317,22.2-30w
F,N,Y,0,135000.0,State servant,Higher education,not married,Municipal apartment,Core staff,1,approved,29.205479452054796,Y,5.301369863013699,10.8-14.4w
F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,31.205479452054796,Y,1.4109589041095891,10.8-14.4w
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,60.367123287671234,N,,10.8-14.4w
M,Y,Y,0,117000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,53.016438356164386,Y,2.802739726027397,10.8-14.4w
M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,Low-skill Laborers,2,approved,50.728767123287675,Y,5.832876712328767,10.8-14.4w
F,N,Y,0,135000.0,Working,Incomplete higher,not married,House / apartment,Secretaries,1,approved,29.95068493150685,Y,1.5753424657534247,10.8-14.4w
F,N,Y,0,103500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,65.07123287671233,N,,7.2-10.8w
F,N,N,0,315000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,Private service staff,1,approved,48.26575342465753,Y,8.936986301369863,30-66w
F,N,N,0,180000.0,Commercial associate,Incomplete higher,Married,With parents,Sales staff,2,approved,22.594520547945205,Y,1.178082191780822,14.4-22.2w
F,N,Y,3,247500.0,Commercial associate,Incomplete higher,Married,House / apartment,Unknown,5,approved,33.14794520547945,Y,6.046575342465753,22.2-30w
M,Y,Y,0,135000.0,Working,Lower secondary,Married,With parents,Laborers,2,approved,27.345205479452055,Y,5.112328767123287,10.8-14.4w
F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,39.52054794520548,Y,12.515068493150684,14.4-22.2w
F,N,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,approved,44.35068493150685,Y,0.8465753424657534,30-66w
F,N,Y,0,247500.0,Working,Higher education,Married,House / apartment,Managers,2,approved,60.54794520547945,Y,1.5835616438356164,22.2-30w
M,Y,Y,0,157500.0,Working,Higher education,Married,House / apartment,Laborers,2,approved,42.76986301369863,Y,18.926027397260274,14.4-22.2w
M,Y,N,1,162000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,35.85205479452055,Y,5.2904109589041095,14.4-22.2w
F,N,Y,1,166500.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,3,approved,55.364383561643834,Y,22.008219178082193,14.4-22.2w
F,N,N,1,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,approved,25.534246575342465,Y,6.183561643835616,10.8-14.4w
M,N,Y,0,90900.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,60.912328767123284,N,,7.2-10.8w
F,Y,N,3,112500.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,5,approved,32.13972602739726,Y,10.345205479452055,10.8-14.4w
F,Y,Y,0,45900.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,55.56712328767123,N,,3.6-7.2w
M,N,Y,1,126000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,3,approved,33.701369863013696,Y,0.3835616438356164,10.8-14.4w
F,N,Y,0,103500.0,Working,Incomplete higher,Married,House / apartment,Laborers,2,approved,32.47945205479452,Y,12.556164383561644,7.2-10.8w
F,N,Y,1,119250.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,approved,43.64657534246575,Y,12.065753424657535,10.8-14.4w
M,Y,N,2,202500.0,Working,Higher education,Married,House / apartment,Drivers,4,approved,32.153424657534245,Y,1.9917808219178081,14.4-22.2w
F,N,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,3,approved,39.75342465753425,Y,10.424657534246576,14.4-22.2w
F,Y,Y,0,112500.0,Working,Higher education,Married,House / apartment,Accountants,2,approved,31.104109589041094,Y,6.345205479452055,10.8-14.4w
F,N,Y,1,315000.0,Working,Higher education,Married,House / apartment,Managers,3,approved,31.786301369863015,Y,3.9863013698630136,30-66w
M,N,N,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,approved,37.09041095890411,Y,14.854794520547944,22.2-30w
M,N,Y,0,162000.0,Working,Secondary / secondary special,not married,House / apartment,Security staff,1,approved,31.493150684931507,Y,1.5917808219178082,14.4-22.2w
M,Y,N,0,270000.0,Working,Incomplete higher,Married,House / apartment,Laborers,2,approved,32.75342465753425,Y,2.4465753424657533,22.2-30w
F,N,Y,2,112500.0,Working,Incomplete higher,Married,House / apartment,Core staff,4,approved,29.936986301369863,Y,5.095890410958904,10.8-14.4w
F,N,Y,0,58500.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,68.34520547945205,N,,3.6-7.2w
F,N,Y,0,94500.0,Commercial associate,Higher education,Separated,House / apartment,Medicine staff,1,approved,39.85753424657534,Y,17.306849315068494,7.2-10.8w
M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,44.153424657534245,Y,2.73972602739726,22.2-30w
F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,Sales staff,2,approved,38.4986301369863,Y,0.3835616438356164,22.2-30w
F,Y,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,58.97808219178082,N,,7.2-10.8w
F,N,Y,1,315000.0,Working,Higher education,Separated,House / apartment,Private service staff,2,approved,43.11780821917808,Y,13.057534246575342,30-66w
F,Y,Y,1,157500.0,Commercial associate,Higher education,Married,House / apartment,Core staff,3,approved,39.654794520547945,Y,6.189041095890411,14.4-22.2w
F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,26.824657534246576,Y,3.682191780821918,14.4-22.2w
F,N,N,0,211500.0,Commercial associate,Higher education,Married,With parents,Laborers,2,approved,40.0986301369863,Y,12.849315068493151,14.4-22.2w
M,N,N,0,202500.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,1,approved,41.98082191780822,Y,22.71232876712329,14.4-22.2w
F,Y,N,0,180000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,55.87671232876713,N,,14.4-22.2w
F,N,N,0,144000.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,42.76986301369863,Y,5.6219178082191785,14.4-22.2w
F,N,N,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,4,approved,46.57808219178082,Y,13.70958904109589,14.4-22.2w
F,N,Y,0,270000.0,Working,Secondary / secondary special,not married,House / apartment,Core staff,1,approved,35.4027397260274,Y,2.5287671232876714,22.2-30w
M,N,N,0,148500.0,Working,Secondary / secondary special,not married,Municipal apartment,Laborers,1,approved,38.69041095890411,Y,3.2684931506849315,14.4-22.2w
F,N,Y,0,90000.0,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,approved,24.673972602739727,Y,2.1726027397260275,7.2-10.8w
F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,58.93698630136986,N,,14.4-22.2w
F,N,N,0,99000.0,Working,Secondary / secondary special,Married,With parents,Medicine staff,2,approved,53.605479452054794,Y,14.93972602739726,7.2-10.8w
F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,not married,House / apartment,Unknown,1,approved,62.61369863013699,N,,30-66w
F,N,Y,1,162000.0,State servant,Higher education,Married,House / apartment,Accountants,3,approved,41.16986301369863,Y,0.2410958904109589,14.4-22.2w
F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,not married,House / apartment,Managers,1,approved,47.80821917808219,Y,15.054794520547945,14.4-22.2w
F,Y,Y,0,225000.0,Working,Higher education,not married,House / apartment,Unknown,1,approved,26.542465753424658,Y,1.6246575342465754,22.2-30w
F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,Core staff,2,approved,57.83835616438356,Y,13.194520547945206,22.2-30w
F,N,Y,0,67500.0,Pensioner,Higher education,not married,Municipal apartment,Unknown,1,approved,64.91506849315068,N,,3.6-7.2w
F,N,Y,0,67500.0,Working,Higher education,Married,House / apartment,Core staff,2,approved,39.013698630136986,Y,4.345205479452055,3.6-7.2w
F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,63.92876712328767,N,,14.4-22.2w
F,Y,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,63.33698630136986,N,,7.2-10.8w
F,N,Y,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,Cleaning staff,1,approved,53.92328767123288,Y,5.764383561643836,10.8-14.4w
F,N,Y,0,112500.0,Working,Secondary / secondary special,not married,House / apartment,Laborers,1,approved,27.279452054794522,Y,2.8273972602739725,10.8-14.4w
F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Managers,2,approved,44.657534246575345,Y,26.56986301369863,10.8-14.4w
F,N,Y,1,112500.0,Working,Higher education,not married,House / apartment,Core staff,2,approved,41.92602739726028,Y,3.0986301369863014,10.8-14.4w
M,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Managers,2,approved,28.958904109589042,Y,3.219178082191781,22.2-30w
F,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,54.57808219178082,N,,10.8-14.4w
F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,approved,41.728767123287675,Y,22.945205479452056,14.4-22.2w
M,Y,Y,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,40.06027397260274,Y,6.024657534246575,14.4-22.2w
M,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,Drivers,3,approved,48.95342465753425,Y,5.238356164383561,22.2-30w
M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,approved,33.342465753424655,Y,2.536986301369863,10.8-14.4w
M,Y,Y,1,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,approved,34.01917808219178,Y,6.846575342465753,14.4-22.2w
M,Y,N,0,328500.0,Working,Higher education,Married,House / apartment,Unknown,2,approved,40.81369863013698,Y,7.271232876712329,30-66w
M,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,4,approved,29.791780821917808,Y,3.2164383561643834,10.8-14.4w
M,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,54.723287671232875,Y,0.6301369863013698,14.4-22.2w
M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,approved,28.257534246575343,Y,2.6356164383561644,10.8-14.4w
M,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,42.76986301369863,Y,6.235616438356164,14.4-22.2w
F,N,Y,2,270000.0,Commercial associate,Higher education,Married,House / apartment,Secretaries,4,approved,42.295890410958904,Y,6.019178082191781,22.2-30w
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,approved,31.183561643835617,Y,6.761643835616439,14.4-22.2w
F,N,Y,0,193500.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,57.605479452054794,Y,31.364383561643837,14.4-22.2w
F,Y,Y,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,59.37260273972603,N,,7.2-10.8w
M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,approved,54.967123287671235,Y,2.5534246575342467,7.2-10.8w
M,Y,N,0,198000.0,Commercial associate,Higher education,Married,House / apartment,Managers,2,approved,37.37808219178082,Y,8.098630136986301,14.4-22.2w
F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,59.87397260273973,N,,14.4-22.2w
M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,29.54794520547945,Y,3.684931506849315,22.2-30w
M,Y,Y,0,72000.0,Working,Higher education,Married,House / apartment,Security staff,2,approved,59.99178082191781,Y,1.6958904109589041,7.2-10.8w
M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,4,approved,43.57260273972603,Y,10.375342465753425,14.4-22.2w
F,Y,Y,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,approved,46.99178082191781,Y,3.4328767123287673,22.2-30w
M,Y,N,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,40.893150684931506,Y,8.882191780821918,14.4-22.2w
F,N,N,0,225000.0,State servant,Secondary / secondary special,Married,With parents,Medicine staff,2,approved,33.61369863013699,Y,0.536986301369863,22.2-30w
M,N,N,0,112500.0,Commercial associate,Secondary / secondary special,not married,Municipal apartment,Laborers,1,approved,43.43287671232877,Y,0.8164383561643835,10.8-14.4w
M,Y,Y,1,450000.0,Commercial associate,Higher education,Married,House / apartment,Unknown,3,approved,47.772602739726025,Y,4.789041095890411,30-66w
M,Y,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Drivers,3,approved,27.126027397260273,Y,0.33972602739726027,14.4-22.2w
F,N,N,1,108000.0,Working,Secondary / secondary special,Separated,House / apartment,Unknown,2,approved,39.31232876712329,Y,11.183561643835617,10.8-14.4w
F,N,Y,0,787500.0,State servant,Higher education,Married,House / apartment,Managers,2,approved,47.131506849315066,Y,3.9205479452054797,>66w
F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Married,With parents,Unknown,2,approved,38.98082191780822,Y,14.602739726027398,14.4-22.2w
M,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,57.16986301369863,Y,3.4684931506849317,14.4-22.2w
F,N,Y,1,90000.0,Working,Secondary / secondary special,Separated,With parents,Sales staff,2,approved,36.16438356164384,Y,2.786301369863014,7.2-10.8w
F,N,Y,0,162000.0,Working,Secondary / secondary special,Married,House / apartment,Unknown,2,approved,54.58082191780822,Y,3.0904109589041098,14.4-22.2w
M,N,N,2,225000.0,Working,Higher education,Married,House / apartment,Laborers,4,approved,45.93972602739726,Y,8.46027397260274,22.2-30w
F,N,N,0,72000.0,Working,Secondary / secondary special,not married,House / apartment,Cleaning staff,1,approved,51.50410958904109,Y,4.016438356164383,7.2-10.8w
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,approved,26.252054794520546,Y,8.227397260273973,14.4-22.2w
M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,approved,34.2,Y,11.065753424657535,30-66w
